productName,productSlug,submittedAt,overallRating,easeOfUse,easeOfSetup,meetsRequirements,qualityOfSupport,reviewTitle,pros,cons,problemsSolved,didSwitchFromCompetitor,previousCompetitors,whySwitched,reviewerRole,reviewerIndustry,companySize,reviewerCountry,isIncentivized,reviewUrl,reviewId
Trello,trello,2026-06-08T17:07:11+00:00,4,7,7,6,7,"Straightforward, Visual Task Management with Trello’s Kanban Boards",The key to Trello is that it has a very user-friendly way of organizing tasks and projects. Trello allows you to create your own Kanban board and customize it to make everything easier for you to organize and track.,nothing to add this time from my side everything seems fine,"Trello solves the problem of organization and planning related to tasks in a very visual way. Some of the benefits offered by Trello include the ability to make the task visible to the user, manage workflows, coordinate within teams, and keep the user organized.",False,,,User,Computer Software,SMB,India,True,https://www.g2.com/products/trello/reviews/trello-review-12933455,12933455
Trello,trello,2026-06-07T16:33:34+00:00,5,7,7,7,7,Simple Kanban Boards That Make Organizing and Collaboration Effortless,,,,False,,,Internal Consultant,Information Technology and Services,SMB,India,False,https://www.g2.com/products/trello/reviews/trello-review-12929401,12929401
Trello,trello,2026-05-29T21:23:41+00:00,5,7,7,7,6,Visual Simplicity and Effective Project Management,"I like using Trello because it just does what I need it to do, without being super complicated. The three columns for organizing prospects, work in progress, and finished projects are perfect for me. I've been using Trello for over eight years, and even though other teams prefer tools like Monday or HubSpot, Trello remains my go-to. I also found the initial setup super easy, allowing me to visualize all the moving parts in my projects effectively.",I would like to see a dashboard that is responsive to voice command.,"I can organize my cards and visuals in Trello to focus on different project timelines, from prospects to finished tasks. It helps me manage the customer journey effectively with perfect column layouts like proposals, work in progress, and finished.",False,,,Administrator,Marketing and Advertising,SMB,United States,True,https://www.g2.com/products/trello/reviews/trello-review-12893183,12893183
Trello,trello,2026-05-28T18:29:40+00:00,4,6,6,6,,Personalizable y colaborativo: categorías y plantillas que ayudan a organizarse,"I like that you can customize many elements and that it allows you to organize with categories and templates. Additionally, you can add collaborators, which is very useful.",Sometimes it is complex to know and therefore take advantage of all the functionalities.,"It has helped me have better organization with my husband for the different household and family activities. Similarly, it allows me to follow up on my personal projects.",False,,,User,Individual & Family Services,Mid-Market,Mexico,True,https://www.g2.com/products/trello/reviews/trello-review-12885813,12885813
Trello,trello,2026-05-28T13:13:22+00:00,4,7,7,6,6,"Easy Task Management and Ticket Updates, with Smooth Team Assignment",i can easily manage our task and easily can update our ticket status and assign to other team,very difficult to manage sub ticket also when board grows then managing scrolling horizontal is difficult to find our ticket,"trello is solving company task management like our daily bases project task for frontend, backend and QA",True,Jira,,User,Computer Software,SMB,India,True,https://www.g2.com/products/trello/reviews/trello-review-12884364,12884364
Trello,trello,2026-05-26T16:21:55+00:00,5,7,7,,,"Easy to use, highly recommend","It helps me organise my day-to-day work as a marketer, and in a fast-paced job it’s very useful.","Easy to use and really helps me stay organised. It’s like a digital notebook, without the hassle of using pens or worrying about losing it.","It helps me stay organised, and I can also share with my team what I’m working on.",False,,,User,"Leisure, Travel & Tourism",SMB,United Kingdom,False,https://www.g2.com/products/trello/reviews/trello-review-12873688,12873688
Trello,trello,2026-05-21T21:54:34+00:00,5,7,7,7,,"Very Visual, User-Friendly Card Sorting","It's very visual and user-friendly, and allows me to sort cards in different ways",The workspaces/boards is a bit confusing and the charge per user keeps growing with your organisation,It gives us a sort of visual ticketing system to plan work and also allow others to see what's going out to avoid bottlenecks,False,,,User,Non-Profit Organization Management,Mid-Market,United Kingdom,True,https://www.g2.com/products/trello/reviews/trello-review-12856657,12856657
Trello,trello,2026-05-21T12:58:22+00:00,4,7,7,6,5,"Simple, Straightforward Task Tracking—But Could Use More Depth","Its simple and straightforward, good for tracking day to day or weekly activities and tasks. I also like its range of integrations like, google drive, slack and Microsoft teams","It lacks depth and tends to feel too simple, there aren't a lot of deep features like deadlines on individual tasks or nesting tasks.",the problem its solving is the ease of use and speed when it concerns quick tasks,False,,,User,Computer Software,SMB,Zambia,True,https://www.g2.com/products/trello/reviews/trello-review-12851624,12851624
Trello,trello,2026-05-21T07:42:38+00:00,4,7,6,7,7,Simple Tool That Keep Team Workflows Organized,"What I like most about Trello is its simple, visual task management system. The Kanban-style boards make it easy to organize projects, track progress, and collaborate with team members. It feels intuitive even for non-technical users, and features like drag-and-drop cards, checklists, labels, deadlines, and integrations help keep workflows organized without feeling overwhelming.","This is a great tool, and I haven’t been able to find any disadvantages.","It helps teams stay organized by clearly assigning responsibilities, tracking deadlines, and monitoring progress in real time. The interface is simple.",True,Asana,Ease of Use,Administrator,Computer Software,Mid-Market,India,True,https://www.g2.com/products/trello/reviews/trello-review-12851242,12851242
Trello,trello,2026-05-20T18:23:23+00:00,5,7,7,7,7,Effortless Organization with a Great Drag-and-Drop Experience,i can organize everything EASILY.. i love the drag and drop feature,I wanted to use it for my reasearch but it is harder for that,IT IS Helping with my assistant to keep up with what i need done- and adding checklist along with the easy of dragging items,False,,,Administrator,Consulting,SMB,United States,True,https://www.g2.com/products/trello/reviews/trello-review-12848090,12848090
Trello,trello,2026-05-20T02:42:29+00:00,4,7,7,7,,"Simple, Smooth Kanban CRM","The UI is one of the easiest I’ve used for a Kanban workflow. It’s very simple to use as a CRM or as a task manager, and it doesn’t require much CPU compared to Monday.com, so it runs smoothly. Even the free version offers a lot of benefits. I use it as CRM and tracked clients in our company and their statuses.",it can not create infographics or reports. you need to use a separate tool for that,It has mobile version which works well!,False,,,Administrator,Marketing and Advertising,SMB,Malaysia,False,https://www.g2.com/products/trello/reviews/trello-review-6551647,6551647
Trello,trello,2026-05-20T01:15:34+00:00,5,,,,,Effortless Task Management for Dev Teams,"I like Trello because it's very easy to use and offers a graphically interesting interface that gives a clear direction of the development path from 'to do' to 'in progress', 'in testing', and finally to 'deployment'. This makes the development process more visual and easier to follow by simply dragging a card from one status to the next. The initial setup was also very easy; we were up and running within one day.",Nothing - everything works as expected.,"I use Trello to break down complex tasks into smaller, manageable parts, which helps my development team focus better on individual assignments.",False,,,,,Mid-Market,Australia,True,https://www.g2.com/products/trello/reviews/trello-review-12843139,12843139
Trello,trello,2026-05-19T16:20:57+00:00,4,7,7,5,,"Simplifies Project Management, but Lacks Advanced Features","I like Trello's very simplistic and easy-to-use UI. It's easy to learn automations with Trello, and I was able to quickly teach other employees how to use the automations and build out boards. Trello is very intuitive software that allows for straightforward automation. The setup process was very easy and took very little time, which made the rollout go a lot quicker for our team.","I think the overall capabilities of Trello lack compared to other project management software. The file management specifically can get a little wonky, and having ownership within sub-tasks gets a bit difficult. It's also not conducive to larger projects, so for big projects, we prefer using something that's more like a spreadsheet format.",Trello helps me manage projects with automation features that make it great for my team.,False,,,Administrator,Construction,SMB,United States,True,https://www.g2.com/products/trello/reviews/trello-review-12839052,12839052
Trello,trello,2026-05-18T15:01:31+00:00,5,7,7,7,7,Makes Sorting To‑Dos and Tracking Completed Tasks Easy,"Sorting what my to do list is, and for things ive completed","The performance could be buggy, but mostly great",its helping my sort everything that I need to do and what I've completed,False,,,User,Computer Games,SMB,United States,True,https://www.g2.com/products/trello/reviews/trello-review-12830154,12830154
